,expr
0,$Xmi=X_{-i}$
1,$0.00              | \$
2,$\text{VaR}_{0.99}$
3,$\mathsf{E}[XB]$
4,$\alpha=2$
5,$>1$
6,$\rho^o_h$
7,$S(M)=0$
8,"$\rho_m(Y)=w_{p_1,p_2}\delta_{p_1} + (1-w_{p_1,p_2})\delta_{p_2}$"
9,$\int_0^1 \phi(p)dp=1$
10,"$\mathsf{cov}(X_i,X)/\sigma_X$"
11,$0 < \alpha_1=\alpha^{-1} < 1$
12,"$M(X_1, a)+M(X_2, a)=M(X_1+X_2, a)$"
13,$d=0.1/1.1$
14,$V_2 = V_1 / 12$
15,"$[-\epsilon, \epsilon]$"
16,$\mathcal{A}_y$
17,$\rho(X) + c = \rho(X+c)\ge \rho(X)  + \mathsf{E}[cZ]$
18,"$250,000 with a layer \$"
19,$U_X > p$
20,$\Delta  \mathit{MV}_{gc}(a)$
21,$\mathsf{E}=\mathsf{F}'\mathsf{F}$
22,"$i=1,\dots,n_d$"
23,$\sigma\sqrt{T}$
24,$t_* > t^*$
25,$\mathbf Y$
26,$m_Y(s)=\mathsf E[Y\mid S=s]$
27,$\mathsf{E}[X_1\mid X_1+X_2=x]=mx/(m+n)$
28,$g(S_t(a(t)))$
29,$2^{-72}=1/4722366482869645213696=1/4.7\times 10^{21}$
30,$\rho_L^E(t_1)$
31,$\mathsf{C}$
32,"$\psi=\psi_{X,r}(u)$"
33,$\beta_1g(S)dX$
34,$\mu(\Omega)\not=1$
35,$Z$
36,"$(X_i, a_i)$"
37,$\sqrt{0.9}=0.95$
38,$\rho(X_n)\uparrow 0$
39,$a=30$
40,$A - \mathsf E[A] \succeq_2 A_0$
41,$\mathbf {\max a}$
42,$q<\infty$
43,$\beta=1$
44,$X\mapsto \mathsf{E}[XZ]$
45,$u^{(n-1)}$
46,$0.5\mathsf{TVaR}_0+0.3\mathsf{TVaR}_{0.5}+0.2\mathsf{TVaR}_0.9$
47,$N_a$
48,$0\le N\le G$
49,$11 million occurs a loss of $
50,$\mathsf{E}(X^2)=$
51,$X_1+X_2\sim 2X$
52,$\bar\nu$
53,$Z_a=q_a/p_a>1$
54,$X=X(\omega)$
55,$e_i/s$
56,$\mathbf T=\mathbf M'\mathbf C^t$
57,$X\le 0$
58,$X_T$
59,"$\bar P_{0,2}$"
60,$\mathsf{E}[\iota Q] = \mathsf{E}[\iota]\mathsf{E}[Q]$
61,$P=(1+r)\lambda\mathsf{E}[X]$
62,$\not\Rightarrow$
63,"$\Theta_i^Y := D^n_{\mathsf{TVaR}_{1-s_i},X}(Y)$"
64,$S(x)=1-F(x)$
65,$i^{\star}$
66,$m=mg^{ak}/g^{ak}$
67,$d=0.13$
68,$Z=Z(X)$
69,$\mathsf{E}[X\mid T=t]=\mathsf{var}phi(t)$
70,$-2<\alpha<-1$
71,$v=(1+i)^{-1}$
72,"$(Alice)+(0,-2.5)$"
73,$26$
74,$                 \& $
75,$\mathbf {\beta_{1}}$
76,$p'= e^{l+t}/(1+e^{l+t})$
77,$\ll 1/a_0$
78,$R_2=C_2$
79,$Z_t$
80,"$F(\omega, x)$"
81,$y^*=\min(y)$
82,"$(p, \mathsf{E}[X_i\mid X=q(p)])$"
83,$Z=W_1 + W_2$
84,$R_i = P_i - U_i$
85,$r_h=0$
86,$E[X_1 | X]$
87,$s_{j} = \sum_{k = j}^{M}p_{k}$
88,$Z = \sum_j X_j$
89,$X \mapsto X+k$
90,$\rho(Z_2)$
91,$U=F_X(X)$
92,"$(Alice)+(0,-3.5)$"
93,$rm_0$
94,$\check g(1-t)^2=(1-kt)^2=1-2kt+k^2t^2$
95,"$\forall A\in\mathscr{F},\ \omega\to P(A, \omega)$"
96,"$X,X_1,X_2$"
97,$256$
98,$\phi\equiv 1$
99,$\mathit{RV}$
100,$c_i=\displaystyle\sum_{i\not\in S\subset\Omega}\dfrac{|S|!(N-|S|-1)!}{N!}\times$
101,$\mathsf{E}[X] = \int_0^1 q(p)dp$
102,$(a-X_{\mathsf{j}(a)})$
103,$\mathsf P(T^{-1}(A))=\mathsf P(A)$
104,$A_i$
105,$R(x)=pd_i+(v-\nu^*)\sqrt{pq}$
106,"$k=0,1,\dots$"
107,$\int_0^\infty (1-F(x))dx=\int_0^\infty xdF(x)$
108,$n \to \infty$
109,$st=k$
110,$\mathscr Z$
111,$x_u$
112,$\beta_i(k) = \mathsf{E}_q[\kappa_i(X)/X\mid X > X_k]$
113,"$L_{p,p+\delta}$"
114,$\rho(X) = sup_Q \mathsf{E}_Q(X)$
115,$z_i >\zeta$
116,$\alpha / \beta$
117,$\{A_i\} \subseteq \mathcal{M}$
118,$\mathsf{MV}$
119,$C_1+\cdots + C_n$
120,${}^{[<75]}$
121,$0\not\in\Theta_p$
122,$(\beta_igS-\alpha_i S)/(gS-S)$
123,$\int S$
124,$\mathsf{Pr}hi^{-1}(0)=-\infty$
125,$s_0/2^{n}$
126,$\epsilon_1$
127,$r_D$
128,$\alpha_k^i$
129,"$p \in [1,\infty]$"
130,$2^{-t+1}$
131,$\mathbf {t+3}$
132,$A\in\mathscr{F}$
133,$a_1 = a(Y_{1})$
134,"$b'_{X,r}(Y)=\sup \mathcal E'_{X,r}(Y)$"
135,$\rho(X)=-U(-X)$
136,"$\mu,\nu$"
137,$p(1-\nu(p)-il(p))$
138,$X_n=Y_1+\cdots +Y_n$
139,"$\nu(dy)=\delta_0(dy)+1_{(0,\infty)}dy$"
140,$(m+1)$
141,$\Delta Q_{gc}(a) = a_{gc}-P(X_{0}(a_{gc}))-a$
142,"$\boldsymbol{j, p, S, \kappa_1, \Delta X, \Delta(X\wedge a)}$"
143,$X\le_{cx} Y$
144,$\mathsf{E}(X\wedge a)$
145,$<\mathsf{E}[X_1]$
146,$X_i(X\wedge a)/X$
147,$P=\nu(\bar S + \iota a)$
148,$\eta\gg\zeta$
149,"$\mathbb{Q}(F)=\R(X\times F),\ \forall F\in\mathcal{B}$"
150,$g(S_k)$
151,$ to be the set of all sample points where the insurance event $
152,$B = g^{b} \pmod{p}$
153,$k\le m$
154,$\tau =0$
155,$\mathsf{Pr}(A\mid\mathscr{G})_{\omega_0}\ge 0$
156,$X_1$
157,$\sigma=0$
158,$0 = x_0< x_1<\cdots < x_n < \cdots$
159,$= (g-s)/(1-g)$
